"id","type","name","date","start","end","abstract","track","venue","format","subs","authors","moderator","","","","","","","","","","","","",""
"9","Break","Coffee Break","2021-11-11","10:00:00","10:15:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"11","Session","Bayesian Models in Philosophy of Science","2021-11-12","14:00:00","16:00:00","<p>Bayesian models are at the core of various successful research programs in philosophy of science and formal epistemology: they are used for reconstructing and better understanding scientific reasoning, but also for developing foundational theories of belief and decision-making under uncertainty. This symposium investigates how foundational and model-based conceptions of Bayesianism relate to each other, and how they might cross-fertilize each other. More specifically, we address this general question from three perspectives: theories of valid inductive inference, understanding Bayesian models as scientific models, and comparing Bayesian models to competitors. At the end, we combine these perspectives to explain the popularity of Bayesianism in various fields of philosophy and science.</p>","Confirmation and Evidence","","Remote Presentation","Modeling Limitations versus the Limitations of a Model|Bayesian Philosophy of Science as Scientific Philosophy|Bayes, Here, There, but Not Everywhere|Commentary||"," Stephan Hartmann, Christopher Hitchcock, John D Norton, Michael Titelbaum, Jan Sprenger","PSA Office,  Jessica Pfeifer,  Matthew Parker","","","","","","","","","","","","",""
"13","Break","Coffee Break","2021-11-11","15:00:00","15:15:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"15","Break","Coffee Break","2021-11-12","10:30:00","10:45:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"17","Break","Coffee Break","2021-11-13","10:30:00","10:45:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"18","Break","Women's Caucus Lunch","2021-11-13","12:30:00","13:45:00","","","Tubman","","","","","","","","","","","","","","","","",""
"19","Break","Coffee Break","2021-11-13","16:00:00","16:15:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"20","Break","Coffee Break","2021-11-14","10:00:00","10:15:00","","","Key Ballroom South Foyer","","","","","","","","","","","","","","","","",""
"21","Session","Beyond Explanation: Exploring the Diversity of Neuroscientific Practice","2021-11-11","13:00:00","15:00:00","<p>The philosophy of neuroscience has in recent decades been dominated by discussions of explanation and in particular of mechanistic explanation. This has produced significant insights into the kinds of causal knowledge that neuroscientific experiments can deliver. However, the focus on explanation has also arguably had a distorting effect on the field. For example, it has encouraged the tendency to lump together or subsume all neuroscientific techniques and models of interest under the heading of explanation (see, for example, debates over whether topological or dynamical ""explanations"" of neural phenomena are really deserving of the name). But the epistemic terrain of neuroscience is far more varied and interesting than this, and it includes knowledge-producing practices that go beyond explanation. Neuroscientific practice includes the development of tools and experimental systems, data analytic techniques, exploratory investigations, formal descriptive frameworks, predictive simulations, and new laboratory phenomena, as well as a host of clinical translational applications. While these may contribute to explanation, they are nevertheless distinct from it. This symposium aims to articulate the social, material, and normative characteristics of these non-explanatory neuroscientific practices, and to chart their interrelations.</p>","Philosophy of Neuroscience","","Remote Presentation","The Mirage of Big-Data Phrenology|Exploratory Concept Formation and the Norms of Description in Neuroscientific Discovery|Assessing the Dynamics of Novel Tool Development: The Rodent Operant Touchscreen Chamber as a Case Study |The Predictive Turn In Neuroscience||","Jackie Sullivan, Daniel Weiskopf, Philipp Haueis, Felipe De Brigard","PSA Office,  Jorge Morales,  Jessica Pfeifer","","","","","","","","","","","","",""
"22","Session","Community Engagement as Scientific and Philosophical Practice","2021-11-11","15:15:00","17:15:00","<p>This symposium will explore the potential of philosophy of scientific practice to become involved as a partner with communities active around science-based issues, such as wetland restoration, environmental justice, biodiversity preservation and resilience to climate change. This symposium focuses on the roles philosophers of science can play in these forms of community engagement by asking two questions: 1) How can concepts from philosophy of scientific practice be utilized to inform and support community engagement? 2) How can taking seriously local knowledge generated by community science efforts, inform new directions in philosophy of science?</p>","Values in Science","Key Ballroom 11","Hybrid Presentation","Abandoning ‘Trust’ to Foster Community Engagement|Interaction and Pluralism in a Conflictual Context|Involved Philosophy: An Initial Framework for Community-Academia Interaction|Climate Resilience and Community Engagement||","Michael Weisberg, Ayelet Shavit, Helen E Longino, Rachel Ankeny","Dr. Serife Tekin","","","","","","","","","","","","",""
"23","Session","Control and Regulation of Biological Mechanisms","2021-11-11","13:00:00","15:00:00","<p>This symposium will address a topic that so far has been little discussed in philosophy of science: how biological mechanisms are controlled and regulated to serve the needs of the organisms in which they occur. Control plays a critical role since, in living organisms, mechanisms typically perform their activities only when they are required to build or maintain the organism and so must do so in different ways under different conditions. This symposium aims to articulate a framework for understanding how biological mechanisms are controlled. The first contributions articulate insights about control by theoretical biologists and cyberneticists in the mid-20th century that have not been fully incorporated into philosophical thinking about mechanisms. One critical insight is that controlled mechanisms require flexible components on which other mechanisms, control mechanisms, can operate. A second is that these control mechanisms are responsive to conditions in the organism or its environment so as to alter flexible components in the controlled mechanisms so that they operate in ways needed by the organism. The later contributions focus on examples of research on control mechanisms, investigating how this research exhibits both similarities and differences to the accounts of mechanism discovery that focus on controlled mechanisms.</p>","Mechanisms","","Remote Presentation","Can Control be Accounted for on a Mechanistic Picture?|Basic Forms of Control in Multicellular Systems|Discovering Control Mechanisms Operative on Cytoplasmic Dyneins|||","William Bechtel, Leonardo Bich, Jason Winning","PSA Office,  Daniel Brooks,  Jessica Pfeifer","","","","","","","","","","","","",""
"24","Session","Distinctions within Causation: Irreversibility, Coherence, Invariance and Machine-Likeness","2021-11-11","13:00:00","15:00:00","<p>Research in philosophy of causation has traditionally focused on the fundamental question of how to distinguish causation from correlation. In addition to this focus, philosophers and scientists have more recently turned their attention to a new and important topic–how to distinguish among different types of causal relationships. This symposium proposal contributes to this endeavor by analyzing four novel features of type-causal relationships, which have yet to receive significant attention in the literature. These features include: the degree to which causal relationships exhibit (i) [ir]reversibility, (ii) invariance, (iii) coherence, and (iv) machine-likeness. These features are examined in four separate talks (one co-authored), provided by four philosophers and one scientist, who all conduct research on causation and causal reasoning. Each of these talks examine one of the four features above by providing an analysis of how this feature should be understood, what distinction within causation it clarifies, and why this distinction matters to scientific practice, as well as everyday causal reasoning.</p>","Causality","Key Ballroom 01","Hybrid Presentation","Irreversible and Reversible Causation|Representations of Invariance in Human Causal Induction|Coherent Causal Control|Biological Machines: A Sober Defense||","Lauren Ross, James Woodward, Mimi Liljeholm, Arnon Levy, Marcel Weber","Dr. Daniel Kostic","","","","","","","","","","","","",""
"25","Session","The Significance of Quantization Procedures","2021-11-13","14:00:00","16:00:00","<p>Philosophers have often ignored or undervalued the importance of the quantization procedures that serve as methods to construct new quantum theories. However, recent decades have seen major developments in the mathematical tools used for quantization within physics communities. In light of these developments, this symposium aims to reassess the status of quantization and investigate its foundational significance. The participants will discuss and compare the variety of mathematical tools that have been developed while exploring their relation with standing philosophical issues. The symposium aims to (i) explore different points of view concerning the relevance of quantization procedures to questions of inter-theoretic reduction between classical and quantum mechanics, (ii) consider how different approaches to understanding the emergence of classical behavior are influenced by background assumptions concerning realism or anti-realism in the interpretation of quantum mechanics, and (iii) probe the extent to which quantization methods can aid in the interpretation and ontology of quantum theories, especially concerning the nature of charge and particles in field theories.</p>","Philosophy of Physics - quantum mechanics","Key Ballroom 02","Hybrid Presentation","On the Singularity of the Classical Limit|Deformation Quantization and the Emergence of Particles from Quantum Field Theory|Viewing Quantum Charge from the Classical Vantage Point|Decoherence and Deformation Quantization: Complementary or Rival Explanations of Classical Behavior?||","Benjamin Feintzeig, Marian J. R. Gilton, Joshua Rosaler, Jeremy Steeger","Benjamin Feintzeig","","","","","","","","","","","","",""
"26","Session","Transdisciplinary Modeling in Science: Knowledge Without Borders?","2021-11-11","13:00:00","15:00:00","<p>Mathematical models developed to advance knowledge in one scientific discipline are sometimes applied in another to study a different subject matter. This transdisciplinary aspect of scientific modeling has been the center of philosophical discussion concerned with knowledge transfer. While the parlance of ""transfer"" conveys a conservative process in nature, a growing number of case studies suggests that modifying the body of knowledge or the subject matter to which it applies is indispensable to a satisfactory trans-domain transfer. There is thus a need to address both the conservation and adaptation aspects in the cross-disciplinary transfer of models and their associated knowledge. Tackling this issue, the first two talks clarify and refine notions of ""templates"" for analyzing model transfer. The last two talks focus on the process and the practice of circulating models as templates across disciplines. On the whole, the five speakers-four philosophers of science and a practicing scientist-present an all-round perspective of how scientists are motivated to transfer models, but also appear to modify the knowledge associated with them in the process.</p>","Scientific Models / Modeling","","Remote Presentation","Transdisciplinary Templates, Models, and Machine Learning|Travelling Waves: Why and How to Diversify the Role of Templates in Transdisciplinary Modelling|Tinkering with the Vocabulary of Games: from the Economy to Cancer|||","Chia-Hua Lin, Paul Humphreys, Artem Kaznatcheev, Wybo Houkes","Patrick Klösel","","","","","","","","","","","","",""
